Load (x),Power Factor (pf),Voltage Regulation (%) (lag),Voltage Regulation (%) (lead)
0.1,0.1,0.24,-0.16
0.2,0.1,0.49,-0.33
0.3,0.1,0.73,-0.49
0.4,0.1,0.98,-0.65
0.5,0.1,1.22,-0.82
0.6,0.1,1.47,-0.98
0.7,0.1,1.71,-1.14
0.8,0.1,1.96,-1.31
0.9,0.1,2.2,-1.47
1.0,0.1,2.44,-1.63
0.1,0.2,0.28,-0.12
0.2,0.2,0.56,-0.24
0.3,0.2,0.85,-0.36
0.4,0.2,1.13,-0.48
0.5,0.2,1.41,-0.6
0.6,0.2,1.69,-0.72
0.7,0.2,1.97,-0.84
0.8,0.2,2.26,-0.96
0.9,0.2,2.54,-1.08
1.0,0.2,2.82,-1.2
0.1,0.3,0.32,-0.07
0.2,0.3,0.63,-0.15
0.3,0.3,0.95,-0.22
0.4,0.3,1.27,-0.29
0.5,0.3,1.59,-0.37
0.6,0.3,1.9,-0.44
0.7,0.3,2.22,-0.52
0.8,0.3,2.54,-0.59
0.9,0.3,2.85,-0.66
1.0,0.3,3.17,-0.74
0.1,0.4,0.35,-0.03
0.2,0.4,0.7,-0.05
0.3,0.4,1.05,-0.08
0.4,0.4,1.4,-0.1
0.5,0.4,1.75,-0.13
0.6,0.4,2.1,-0.15
0.7,0.4,2.45,-0.18
0.8,0.4,2.8,-0.2
0.9,0.4,3.15,-0.23
1.0,0.4,3.5,-0.25
0.1,0.5,0.38,0.03
0.2,0.5,0.76,0.05
0.3,0.5,1.14,0.08
0.4,0.5,1.52,0.1
0.5,0.5,1.9,0.13
0.6,0.5,2.28,0.15
0.7,0.5,2.66,0.18
0.8,0.5,3.04,0.2
0.9,0.5,3.42,0.23
1.0,0.5,3.8,0.25
0.1,0.6,0.41,0.08
0.2,0.6,0.81,0.16
0.3,0.6,1.22,0.24
0.4,0.6,1.63,0.32
0.5,0.6,2.04,0.4
0.6,0.6,2.44,0.48
0.7,0.6,2.85,0.56
0.8,0.6,3.26,0.64
0.9,0.6,3.67,0.72
1.0,0.6,4.07,0.8
0.1,0.7,0.43,0.14
0.2,0.7,0.86,0.28
0.3,0.7,1.29,0.41
0.4,0.7,1.72,0.55
0.5,0.7,2.15,0.69
0.6,0.7,2.58,0.83
0.7,0.7,3.01,0.96
0.8,0.7,3.44,1.1
0.9,0.7,3.87,1.24
1.0,0.7,4.3,1.38
0.1,0.8,0.45,0.2
0.2,0.8,0.9,0.4
0.3,0.8,1.34,0.6
0.4,0.8,1.79,0.81
0.5,0.8,2.24,1.01
0.6,0.8,2.69,1.21
0.7,0.8,3.13,1.41
0.8,0.8,3.58,1.61
0.9,0.8,4.03,1.81
1.0,0.8,4.48,2.02
0.1,0.9,0.45,0.28
0.2,0.9,0.91,0.55
0.3,0.9,1.36,0.83
0.4,0.9,1.82,1.1
0.5,0.9,2.27,1.38
0.6,0.9,2.73,1.66
0.7,0.9,3.18,1.93
0.8,0.9,3.64,2.21
0.9,0.9,4.09,2.48
1.0,0.9,4.54,2.76
0.1,1.0,0.41,0.41
0.2,1.0,0.81,0.81
0.3,1.0,1.22,1.22
0.4,1.0,1.62,1.62
0.5,1.0,2.03,2.03
0.6,1.0,2.43,2.43
0.7,1.0,2.84,2.84
0.8,1.0,3.25,3.25
0.9,1.0,3.65,3.65
1.0,1.0,4.06,4.06
